CCODE,BCODE
CMR,AKPA
NGA,AKPA
CAN,ALSK
USA,ALSK
GUY,AMCR
VEN,AMCR
CHN,AMUR
PRK,AMUR
MNG,AMUR
RUS,AMUR
BOL,AMZN
BRA,AMZN
COL,AMZN
ECU,AMZN
GUF,AMZN
GUY,AMZN
PER,AMZN
SUR,AMZN
VEN,AMZN
LBN,ANAK
SYR,ANAK
AFG,ARAL
CHN,ARAL
KAZ,ARAL
KGZ,ARAL
PAK,ARAL
TJK,ARAL
TKM,ARAL
UZB,ARAL
LBN,ASIX
SYR,ASIX
TUR,ASIX
DOM,ATBN
HTI,ATBN
AZE,ATCY
IRN,ATCY
IRN,ATRK
TKM,ATRK
MRT,ATUI
ESH,ATUI
ARG,AVLS
CHL,AVLS
DJI,AWSH
ETH,AWSH
SOM,AWSH
ARG,AYSN
CHL,AYSN
ARG,BAKR
CHL,BAKR
IRL,BANN
GBR,BANN
FRA,BDSO
ESP,BDSO
CMR,BENT
GNQ,BENT
GAB,BENT
GHA,BIAX
CIV,BIAX
CHN,BLUN
VNM,BLUN
BLZ,BLZE
GTM,BLZE
BRN,BNGU
MYS,BNGU
ERI,BRKA
SDN,BRKA
GUY,BRMA
VEN,BRMA
LVA,BRTA
LTU,BRTA
MOZ,BUZI
ZWE,BUZI
LAO,CAXX
VNM,CAXX
GTM,CDLR
MEX,CDLR
CRI,CGNL
PAN,CGNL
GTM,CHAM
HND,CHAM
ARG,CHIC
CHL,CHIC
ECU,CHIR
PER,CHIR
HND,CHLT
NIC,CHLT
CRI,CHRQ
PAN,CHRQ
BRA,CHUY
URY,CHUY
MEX,CLDO
USA,CLDO
CAN,CLKT
USA,CLKT
CAN,CLMB
USA,CLMB
AGO,CLNG
ZAR,CLNG
COG,CLNG
BOL,CNCS
CHL,CNCS
AGO,CNGO
BDI,CNGO
CMR,CNGO
CAF,CNGO
ZAR,CNGO
COG,CNGO
GAB,CNGO
MWI,CNGO
RWA,CNGO
SDN,CNGO
TZA,CNGO
UGA,CNGO
ZMB,CNGO
HND,COCO
NIC,COCO
ARG,COMA
CHL,COMA
CRI,CONV
NIC,CONV
CRI,CORR
PAN,CORR
GIN,CRBL
GNB,CRBL
CMR,CROS
NGA,CROS
BRA,CRTY
GUY,CRTY
SUR,CRTY
GEO,CRUH
TUR,CRUH
IRL,CSTL
GBR,CSTL
GIN,CSTO
CIV,CSTO
LBR,CSTO
GTM,CTAT
MEX,CTAT
COL,CTTB
VEN,CTTB
ARG,CULL
CHL,CULL
CIV,CVLY
GIN,CVLY
LBR,CVLY
ALB,DANU
AUT,DANU
BGR,DANU
BIH,DANU
CHE,DANU
HRV,DANU
CZE,DANU
DEU,DANU
HUN,DANU
ITA,DANU
MDA,DANU
MON,DANU
POL,DANU
ROM,DANU
SRB,DANU
SVK,DANU
SVN,DANU
UKR,DANU
DZA,DAUR
MAR,DAUR
BLR,DNPR
RUS,DNPR
UKR,DNPR
MDA,DNSR
POL,DNSR
UKR,DNSR
RUS,DONX
UKR,DONX
DZA,DRAX
MAR,DRAX
ALB,DRIN
MKD,DRIN
MON,DRIN
SRB,DRIN
IRN,DSHT
PAK,DSHT
BLR,DUGV
LVA,DUGV
LTU,DUGV
RUS,DUGV
PRT,DURO
ESP,DURO
AND,EBRO
FRA,EBRO
ESP,EBRO
AUT,ELBE
CZE,ELBE
DEU,ELBE
POL,ELBE
CRI,ELNA
NIC,ELNA
RUS,ELNK
UKR,ELNK
IRL,ERNE
GBR,ERNE
BRA,ESQB
GUY,ESQB
SUR,ESQB
VEN,ESQB
AGO,ETOS
NAM,ETOS
IRL,FANE
GBR,FANE
IRL,FLRY
GBR,FLRY
IDN,FLYX
PNG,FLYX
BGD,FNNY
IND,FNNY
IRL,FOYL
GBR,FOYL
CAN,FRSR
USA,FRSR
CAN,FRTH
USA,FRTH
ARG,GALG
CHL,GALG
GMB,GAMB
GIN,GAMB
SEN,GAMB
BGD,GANG
BTN,GANG
IND,GANG
CHN,GANG
MMR,GANG
NPL,GANG
ERI,GASH
ETH,GASH
SDN,GASH
GIN,GEBA
GNB,GEBA
SEN,GEBA
BLZ,GJLV
GTM,GJLV
MEX,GJLV
NOR,GLAM
SWE,GLAM
MYS,GLOK
THA,GLOK
SLV,GOSR
HND,GOSR
AND,GRON
FRA,GRON
ESP,GRON
GIN,GSCR
SLE,GSCR
PRT,GUDN
ESP,GUDN
DZA,GUIR
MAR,GUIR
EST,GUJA
LVA,GUJA
PRK,HANX
KOR,HANX
AFG,HARI
IRN,HARI
TKM,HARI
AFG,HLMD
IRN,HLMD
PAK,HLMD
BLZ,HOND
GTM,HOND
MEX,HOND
CHN,HRUN
MNG,HRUN
RUS,HRUN
CHN,HSIX
VNM,HSIX
MOZ,ICMT
ZAF,ICMT
SWZ,ICMT
CHN,ILIX
KAZ,ILIX
KGZ,ILIX
AFG,INDU
CHN,INDU
IND,INDU
NPL,INDU
